Rank;lat;long;Airport;Location;Country;Code (IATA/ICAO);Total passengers
01.00;336.324;-844.277;Hartsfield–Jackson Atlanta International Airport;Atlanta, Georgia;United States;ATL/KATL;93699630
02.00;328.998;-970.403;Dallas Fort Worth International Airport;Dallas–Fort Worth, Texas;United States;DFW/KDFW;73362946
03.00;398.561;-1.046.737;Denver International Airport;Denver, Colorado;United States;DEN/KDEN;69286461
04.00;419.742;-879.073;O'Hare International Airport;Chicago, Illinois;United States;ORD/KORD;68340619
05.00;252.532;553.657;Dubai International Airport;Garhoud, Dubai;United Arab Emirates;DXB/OMDB;66069981
06.00;339.416;-1.184.085;Los Angeles International Airport;Los Angeles, California;United States;LAX/KLAX;65924298
07.00;412.756;287.519;Istanbul Airport;Arnavutköy, Istanbul;Turkey;IST/LTFM;64289107
08.00;51.47.00;-0.4543;Heathrow Airport;Hillingdon, London;United Kingdom;LHR/EGLL;61614508
09.00;285.562;77.01.00;Indira Gandhi International Airport;Palam, Delhi;India;DEL/VIDP;59490074
10.00;490.097;25.479;Charles de Gaulle Airport;Roissy-en-France, Île-de-France;France;CDG/LFPG;57474033
11.00;40.641.766;-73.780.968;John F. Kennedy International Airport;Queens, New York City, New York;United States;JFK/KJFK;55287693
12.00;3.608.601;-115.153.969;Harry Reid International Airport;Las Vegas, Nevada;United States;LAS/KLAS;52694312
13.00;52.308.056;4.764.167;Amsterdam Airport Schiphol;Haarlemmermeer, North Holland;Netherlands;AMS/EHAM;52472188
14.00;257.933;-802.906;Miami International Airport;Miami-Dade County, Florida;United States;MIA/KMIA;50684396
15.00;4.049.222;-357.167;Adolfo Suárez Madrid–Barajas Airport;Madrid;Spain;MAD/LEMD;50602864
16.00;355.494;1.397.798;Tokyo Haneda Airport;Ōta, Tokyo;Japan;HND/RJTT;50290705
17.00;28.424.618;-81.310.753;Orlando International Airport;Orlando, Florida;United States;MCO/KMCO;50176103
18.00;500.333;85.706;Frankfurt Airport;Frankfurt, Hesse;Germany;FRA/EDDF;48918482
19.00;35.214;-809.431;Charlotte Douglas International Airport;Charlotte, North Carolina;United States;CLT/KCLT;47758605
20.00;194.363;-990.721;Mexico City International Airport;Venustiano Carranza, Mexico City;Mexico;MEX/MMMX;46261729
21.00;474.484;-1.223.086;Seattle–Tacoma International Airport;SeaTac, Washington;United States;SEA/KSEA;45964321
22.00;334.352;-1.120.101;Phoenix Sky Harbor International Airport;Phoenix, Arizona;United States;PHX/KPHX;44397854
23.00;406.895;-741.745;Newark Liberty International Airport;Newark, New Jersey;United States;EWR/KEWR;43565254
24.00.00;376.193;-1.223.816;San Francisco International Airport;San Mateo County, California;United States;SFO/KSFO;42210201
25.00.00;4.129.498;208.767;Josep Tarradellas Barcelona–El Prat Airport;Barcelona;Spain;BCN/LEBL;41616302
26.00.00;299.931;-953.416;George Bush Intercontinental Airport;Houston, Texas;United States;IAH/KIAH;40974831
27.00.00;-6.125.556;10.665.583;Soekarno–Hatta International Airport;Tangerang, Banten;Indonesia;CGK/WIII;38791168
28.00.00;190.902;728.628;Chhatrapati Shivaji Maharaj International Airport;Santacruz-Sahar, Mumbai, Maharashtra;India;BOM/VABB;38332106
29.00.00;436.771;-796.334;Toronto Pearson International Airport;Mississauga, Ontario;Canada;YYZ/CYYZ;36356109
30.00.00;423.654;-710.108;Logan International Airport;East Boston, Massachusetts;United States;BOS/KBOS;36112473
31.00.00;252.601;51.614;Hamad International Airport;Doha;Qatar;DOH/OTHH;35730482
32.00.00;4.701;-741.461;El Dorado International Airport;Bogotá;Colombia;BOG/SKBO;35362529
33.00.00;-234.302;-464.717;São Paulo/Guarulhos International Airport;Guarulhos;Brazil;GRU/SBGR;34466946
34.00.00;108.158;1.066.641;Tan Son Nhat International Airport;Ho Chi Minh City;Vietnam;SGN/VVTS;34278320
35.00.00;511.537;1,264583333;London Gatwick Airport;Crawley, West Sussex;United Kingdom;LGW/EGKK;32848088
36.00.00;13.586;1.039.899;Singapore Changi Airport;Changi, East Region;Singapore;SIN/WSSS;32202000
37.00.00;26.072;-801.501;Fort Lauderdale–Hollywood International Airport;Broward County, Florida;United States;FLL/KFLL;31686404
38.00.00;21.683;391.667;King Abdulaziz International Airport;Jeddah;Saudi Arabia;JED/OEJN;31648324
39.00.00;483.536;117.832;Munich Airport;Freising, Bavaria;Germany;MUC/EDDM;31642738
40.00.00;369.143;308.036;Antalya Airport;Antalya;Turkey;AYT/LTAI;31228377
41.00.00;40.898.335;29.309.168;Istanbul Sabiha Gökçen International Airport;Pendik, Istanbul;Turkey;SAW/LTFJ;30780357
42.00.00;448.851;-932.144;Minneapolis/St Paul International Airport;St. Paul, Minnesota;United States;MSP/KMSP;30622784
43.00.00;210.419;-868.744;Cancún International Airport;Cancún;Mexico;CUN/MMUN;30484094
44.00.00;145.123;1.210.165;Ninoy Aquino International Airport;Pasay/Parañaque, Metro Manila;Philippines;MNL/RPLL;30329426
45.00.00;335.071;1.264.934;Jeju International Airport;Jeju City;South Korea;CJU/RKPC;29703669
46.00.00;418.035;122.519;Leonardo da Vinci–Fiumicino Airport;Fiumicino, Rome metro;Italy;FCO/LIRF;29346365
47.00.00;487.299;23.732;Orly Airport;Orly, Paris metro;France;ORY/LFPO;29187269
48.00.00;-33.95;1.511.817;Sydney Airport;Sydney;Australia;SYD/YSSY;29094483
49.00.00;407.766;-738.742;LaGuardia Airport;Queens, New York City;United States;LGA/KLGA;28997592
50.00.00;136.923;1.007.507;Suvarnabhumi Airport;Racha Thewa, Bangkok metro;Thailand;BKK/VTBS;28754314
